timestamp,close,potential_side,below_lower_MR_long,above_upper_MR_short,price_above_high3,price_below_low3,rsi_gt_60_BO_long,rsi_lt_40_BO_short,potential_stop,atr_gt_median_vol
2026-08-08 10:00:00,64921.1,0,False,False,False,False,False,True,64921.1,False
2026-08-08 11:00:00,65036.0,0,False,False,True,False,False,False,65036.0,False
2026-08-08 12:00:00,65006.9,0,False,False,False,False,False,False,65006.9,False
2026-08-08 13:00:00,64997.6,0,False,False,False,False,False,False,64997.6,False
2026-08-08 14:00:00,65005.7,0,False,False,False,False,True,False,65005.7,False
2026-08-08 15:00:00,64956.9,0,False,False,False,True,True,False,64956.9,False
2026-08-08 16:00:00,64985.6,0,False,False,False,False,True,False,64985.6,False
2026-08-08 17:00:00,64988.5,0,False,False,False,False,False,False,64988.5,False
2026-08-08 18:00:00,65012.2,0,False,False,False,False,False,False,65012.2,False
2026-08-08 19:00:00,64964.6,0,False,False,False,False,False,False,64964.6,False
2026-08-08 20:00:00,65001.2,0,False,False,False,False,True,False,65001.2,False
2026-08-08 21:00:00,65009.0,0,False,False,False,False,True,False,65009.0,False
